REG,DEP,total
1,971,4912
2,972,3531
3,973,1328
4,974,5310
6,976,3717
11,75,27660
11,77,5780
11,78,6154
11,91,4884
11,92,6938
11,93,7330
11,94,5395
11,95,4952
24,18,1396
24,45,2847
24,28,1887
24,36,1108
24,37,2688
24,41,1498
27,21,2510
27,58,1113
27,70,1168
27,71,2935
27,89,1669
27,90,613
27,25,2778
27,39,1494
28,14,4136
28,50,2899
28,61,1473
28,76,6140
28,27,2671
32,2,2149
32,59,11939
32,60,3298
32,62,6844
32,80,2661
44,8,1251
44,10,1609
44,51,2674
44,52,873
44,54,3064
44,55,817
44,57,5139
44,67,5353
44,68,3819
44,88,2155
52,44,749
52,49,3310
52,53,1334
52,72,2438
52,85,3556
52,44,5506
53,22,3067
53,56,4370
53,29,4439
53,35,4990
75,16,1797
75,17,4556
75,19,1563
75,23,569
75,24,1761
75,47,1935
75,64,4476
75,79,1549
75,86,1877
75,87,1785
75,24,698
75,33,8861
75,40,2510
76,9,919
76,11,2413
76,12,1788
76,46,1104
76,48,466
76,65,1566
76,66,3313
76,81,2132
76,82,1380
76,30,4511
76,31,6742
76,32,1036
76,34,7717
84,1,2739
84,3,2011
84,7,1873
84,15,1003
84,63,3335
84,69,9888
84,73,3491
84,74,5028
84,26,3006
84,38,6316
84,42,4096
84,43,1242
93,4,1262
93,5,1262
93,6,9570
93,13,13709
93,83,8302
93,84,3907
94,2A,1860
94,2B,1823
