dep;jour;pop;P;tx_std
01;2020-05-13;656955;9;1.54823273749241
01;2020-05-14;656955;9;1.34160640106758
01;2020-05-15;656955;5;0.776830750993909
01;2020-05-16;656955;0;0
01;2020-05-17;656955;0;0
01;2020-05-18;656955;11;1.95098652364569
01;2020-05-19;656955;9;1.52922962978395
01;2020-05-20;656955;11;1.74300917559568
01;2020-05-21;656955;1;0.171185349883708
01;2020-05-22;656955;7;1.12020023649125
01;2020-05-23;656955;2;0.31058009036035
01;2020-05-24;656955;0;0
01;2020-05-25;656955;3;0.484800308602865
01;2020-05-26;656955;2;0.354972699403139
01;2020-05-27;656955;4;0.626924754071316
01;2020-05-28;656955;1;0.145942717381964
01;2020-05-29;656955;6;1.02754214311729
01;2020-05-30;656955;2;0.313826944138092
01;2020-05-31;656955;1;0.183199935091864
01;2020-06-01;656955;4;0.738533166541436
01;2020-06-02;656955;3;0.55018721970316
01;2020-06-03;656955;2;0.313881213487929
01;2020-06-04;656955;0;0
01;2020-06-05;656955;5;0.832500195145124
01;2020-06-06;656955;3;0.457583992136746
01;2020-06-07;656955;1;0.174826581084876
01;2020-06-08;656955;0;0
01;2020-06-09;656955;1;0.142899947556497
01;2020-06-10;656955;1;0.183199935091864
01;2020-06-11;656955;6;0.980379357958327
01;2020-06-12;656955;3;0.459770694217987
01;2020-06-13;656955;0;0
01;2020-06-14;656955;1;0.142050300277658
01;2020-06-15;656955;0;0
01;2020-06-16;656955;3;0.495866662271931
01;2020-06-17;656955;2;0.366399870183728
01;2020-06-18;656955;2;0.312746991550135
01;2020-06-19;656955;3;0.483182614538136
01;2020-06-20;656955;3;0.445654137256514
01;2020-06-21;656955;0;0
01;2020-06-22;656955;5;0.773957367231704
01;2020-06-23;656955;10;1.61945921164039
01;2020-06-24;656955;2;0.31058009036035
01;2020-06-25;656955;5;0.85418972680849
01;2020-06-26;656955;8;1.19904134601615
01;2020-06-27;656955;6;0.876604116193614
01;2020-06-28;656955;0;0
01;2020-06-29;656955;6;0.875643377516452
01;2020-06-30;656955;7;1.03496648428038
01;2020-07-01;656955;3;0.471515593411554
01;2020-07-02;656955;0;0
01;2020-07-03;656955;3;0.471324597755771
01;2020-07-04;656955;1;0.142825802365704
01;2020-07-05;656955;0;0
01;2020-07-06;656955;2;0.328615645855057
01;2020-07-07;656955;5;0.797204263528876
01;2020-07-08;656955;3;0.446503784535352
01;2020-07-09;656955;3;0.464918121031299
01;2020-07-10;656955;3;0.483773752097497
01;2020-07-11;656955;0;0
01;2020-07-12;656955;1;0.183787349519432
01;2020-07-13;656955;0;0
01;2020-07-14;656955;0;0
01;2020-07-15;656955;3;0.430295692955714
01;2020-07-16;656955;0;0
01;2020-07-17;656955;6;0.936779611579052
01;2020-07-18;656955;4;0.615529962014389
01;2020-07-19;656955;0;0
01;2020-07-20;656955;3;0.472010221306663
01;2020-07-21;656955;10;1.60906596652252
01;2020-07-22;656955;5;0.768532498719734
01;2020-07-23;656955;6;0.856844751273696
01;2020-07-24;656955;21;3.30356454507566
01;2020-07-25;656955;2;0.314351103905635
01;2020-07-26;656955;2;0.310764298471669
01;2020-07-27;656955;13;1.93664793632212
01;2020-07-28;656955;10;1.60650348304333
01;2020-07-29;656955;7;1.06294355452319
01;2020-07-30;656955;17;2.57001562645352
01;2020-07-31;656955;17;2.65731250641268
01;2020-08-01;656955;5;0.814395578678244
01;2020-08-02;656955;2;0.321924485448942
01;2020-08-03;656955;9;1.38382214285429
01;2020-08-04;656955;14;2.2681370011209
01;2020-08-05;656955;10;1.5287312017694
01;2020-08-06;656955;15;2.2811967599919
01;2020-08-07;656955;9;1.47349935415847
01;2020-08-08;656955;8;1.1740854772683
01;2020-08-09;656955;1;0.167938496105965
01;2020-08-10;656955;22;3.51008854483944
01;2020-08-11;656955;11;1.76531847236605
01;2020-08-12;656955;15;2.34192906012513
01;2020-08-13;656955;16;2.49747095633345
01;2020-08-14;656955;25;3.81806410059254
01;2020-08-15;656955;1;0.148739277559078
01;2020-08-16;656955;0;0
01;2020-08-17;656955;29;4.42002470797309
01;2020-08-18;656955;23;3.67001663532808
01;2020-08-19;656955;27;4.13807033212546
01;2020-08-20;656955;33;5.07073143778248
01;2020-08-21;656955;50;7.55701354619046
01;2020-08-22;656955;17;2.62692244118389
01;2020-08-23;656955;2;0.340239299733942
01;2020-08-24;656955;54;8.07402981984674
01;2020-08-25;656955;38;6.03314882260151
01;2020-08-26;656955;56;8.80819108491071
01;2020-08-27;656955;88;14.1938131569788
