reg;jour;pop;P;tx_std
01;2020-05-13;376879;0;0
02;2020-05-13;358749;4;0.938494873237301
03;2020-05-13;290691;0;0
04;2020-05-13;859959;1;0.109044990470523
05;2020-05-13;5997;0;0
06;2020-05-13;279471;9;5.53626420346381
07;2020-05-13;9961;0;0
08;2020-05-13;35334;0;0
11;2020-05-13;12278210;281;2.57032654684125
24;2020-05-13;2559073;30;1.15980415049904
27;2020-05-13;2783039;19;0.630792730930806
28;2020-05-13;3303500;36;1.06103509233639
32;2020-05-13;5962662;75;1.33893030454228
44;2020-05-13;5511747;151;2.72662338382586
52;2020-05-13;3801797;22;0.571223302466366
53;2020-05-13;3340379;10;0.302235311436582
75;2020-05-13;5999982;38;0.64453169401398
76;2020-05-13;5924858;56;0.904431912494247
84;2020-05-13;8032377;56;0.697974565275847
93;2020-05-13;5055651;85;1.58048805899868
94;2020-05-13;344679;6;1.72522330667726
01;2020-05-14;376879;0;0
02;2020-05-14;358749;0;0
03;2020-05-14;290691;0;0
04;2020-05-14;859959;1;0.133433395307198
05;2020-05-14;5997;0;0
06;2020-05-14;279471;9;5.72072913678642
07;2020-05-14;9961;0;0
08;2020-05-14;35334;0;0
11;2020-05-14;12278210;309;2.75641204864955
24;2020-05-14;2559073;33;1.22716287536585
27;2020-05-14;2783039;32;1.07401382141989
28;2020-05-14;3303500;24;0.712590872055798
32;2020-05-14;5962662;94;1.68644750303394
44;2020-05-14;5511747;109;1.9748345550561
52;2020-05-14;3801797;25;0.65444534271377
53;2020-05-14;3340379;17;0.513069887464676
75;2020-05-14;5999982;23;0.368992842717425
76;2020-05-14;5924858;75;1.22827540870323
84;2020-05-14;8032377;103;1.28259733969621
93;2020-05-14;5055651;90;1.67950872133587
94;2020-05-14;344679;3;0.813175316480706
01;2020-05-15;376879;0;0
02;2020-05-15;358749;0;0
03;2020-05-15;290691;0;0
04;2020-05-15;859959;1;0.0917088584286915
05;2020-05-15;5997;0;0
06;2020-05-15;279471;12;6.50909531361698
07;2020-05-15;9961;0;0
08;2020-05-15;35334;0;0
11;2020-05-15;12278210;260;2.3519570737069
24;2020-05-15;2559073;53;2.00056069455991
27;2020-05-15;2783039;63;2.08526379912204
28;2020-05-15;3303500;23;0.680265041105796
32;2020-05-15;5962662;83;1.50563642124017
44;2020-05-15;5511747;147;2.65178670475895
52;2020-05-15;3801797;37;0.962914260639679
53;2020-05-15;3340379;78;2.41274353229068
75;2020-05-15;5999982;28;0.478236034646147
76;2020-05-15;5924858;52;0.82870922107509
84;2020-05-15;8032377;78;0.968440387908325
93;2020-05-15;5055651;73;1.37337702140582
94;2020-05-15;344679;1;0.264541156874857
01;2020-05-16;376879;0;0
02;2020-05-16;358749;1;0.294503420029641
03;2020-05-16;290691;0;0
04;2020-05-16;859959;1;0.118172346632202
05;2020-05-16;5997;0;0
06;2020-05-16;279471;0;0
07;2020-05-16;9961;0;0
08;2020-05-16;35334;0;0
11;2020-05-16;12278210;63;0.594982982450278
24;2020-05-16;2559073;35;1.3882200396849
27;2020-05-16;2783039;23;0.803382815772067
28;2020-05-16;3303500;6;0.180612415689889
32;2020-05-16;5962662;29;0.526746825659353
44;2020-05-16;5511747;39;0.704917080408589
52;2020-05-16;3801797;17;0.453214253891257
53;2020-05-16;3340379;17;0.521896323344738
75;2020-05-16;5999982;8;0.122867098850416
76;2020-05-16;5924858;10;0.159552963748545
84;2020-05-16;8032377;25;0.310247226464389
93;2020-05-16;5055651;15;0.274984908612774
94;2020-05-16;344679;1;0.273450315457004
01;2020-05-17;376879;0;0
02;2020-05-17;358749;0;0
03;2020-05-17;290691;0;0
04;2020-05-17;859959;3;0.330496736216775
05;2020-05-17;5997;0;0
06;2020-05-17;279471;0;0
07;2020-05-17;9961;0;0
08;2020-05-17;35334;0;0
11;2020-05-17;12278210;52;0.520224459959846
24;2020-05-17;2559073;17;0.691976996823006
27;2020-05-17;2783039;8;0.268957444458049
28;2020-05-17;3303500;8;0.25341148132805
32;2020-05-17;5962662;10;0.179926427457583
44;2020-05-17;5511747;6;0.105020603412192
52;2020-05-17;3801797;5;0.124157093873402
53;2020-05-17;3340379;3;0.0936994914834497
75;2020-05-17;5999982;2;0.0330105904765197
76;2020-05-17;5924858;6;0.0956246843020693
84;2020-05-17;8032377;13;0.161423524880843
93;2020-05-17;5055651;6;0.11149932715525
94;2020-05-17;344679;0;0
01;2020-05-18;376879;0;0
02;2020-05-18;358749;2;0.692040451855696
