DEPARTEMENT,CODE,SUPERFICIE,POPULATION,DENSITE,REGION
Gironde,33,10000,1376000,138,75
Landes,40,9243,327334,35,75
Dordogne,24,9060,401500,43,75
Côte-d'Or,21,8763,506755,58,27
Aveyron,12,8735,271200,31,76
Saône-et-Loire,71,8575,544893,64,27
Marne,51,8162,565229,69,44
Puy-de-Dôme,63,7970,621000,76,84
PyrénéesAtlantiques,64,7645,600018,78,75
Isère,38,7431,1172000,157,84
Yonne,89,7427,341000,45,27
Aisne,02,7369,535489,73,32
Allier,03,7340,342284,47,84
Cher,18,7235,314428,43,24
Maine-et-Loire,49,7166,782225,102,52
Vendée,85,7016,610000,90,52
Vienne,86,6990,399024,57,75
AlpesdeHauteProvence,04,6925,153000,22,93
Côtes-d'Armor,22,6878,569500,82,53
CharenteMaritime,17,6864,557024,81,75
Morbihan,56,6823,643873,94,53
Nièvre,58,6817,225198,33,27
Loire-Atlantique,44,6815,1209000,177,52
Indre,36,6791,232000,34,24
Ille-et-Vilaine,35,6775,930000,133,53
Loiret,45,6775,645000,95,24
Finistère,29,6733,852418,127,53
Pas-de-Calais,62,6671,1456000,218,32
Drôme,26,6530,457651,67,84
Loir-et-Cher,41,6343,314968,50,24
Haute-Garonne,31,6309,1135000,180,76
Seine-Maritime,76,6278,1245000,198,28
Gers,32,6257,178000,28,76
Hérault,34,6224,992500,159,76
Moselle,57,6216,1039500,165,44
Meuse,55,6211,192198,31,44
Haute-Marne,52,6211,186500,30,44
Sarthe,72,6206,529851,85,52
Somme,80,6170,555551,90,32
Aude,11,6139,309770,50,76
Indre-et-Loire,37,6127,571500,93,24
Orne,61,6103,292337,48,28
Eure,27,6040,541054,90,28
Savoie,73,6028,392156,62,84
Aube,10,6004,292131,49,44
Deux-Sèvres,79,5999,352000,59,75
Var,83,5973,990000,166,93
Charente,16,5956,339628,57,75
Manche,50,5938,489500,82,28
Seine-et-Marne,77,5915,1260000,213,11
Eure-et-Loir,28,5880,417000,71,24
Vosges,88,5874,380952,65,44,76
Oise,60,5860,780000,133,32
Corrèze,19,5857,232576,40,75
Gard,30,5853,623125,106,76
Ain,01,5762,565000,97,84
Tarn,81,5758,360000,60,76
Nord,59,5743,2577000,449,32
Cantal,15,5726,150772,26,84
Creuse,23,5565,124470,22,75
Hautes-Alpes,05,5549,132000,23,93
Calvados,14,5548,664000,120,28
Ardèche,07,5529,286023,52,84
Haute-Vienne,87,5520,353893,64,75
Lot-et-Garonne,47,5361,305380,57,75
Haute-Saône,70,5360,229732,43,27,84
Meurthe-et-Moselle,54,5246,723000,138,44
Doubs,25,5234,499062,95,27
Ardennes,08,5229,290130,55,44
Lot,46,5217,168500,32,76
Mayenne,53,5175,285338,55,52
Lozère,48,5167,77000,15,76
BouchesduRhône,13,5087,1906000,375,93
Jura,39,4999,250857,50,27
Haute-Loire,43,4977,209113,42,84
Ariège,09,4890,137205,28,76
Loire,42,4781,732000,153,84
Bas-Rhin,67,4755,1063000,224,44
Haute-Corse,2B,4666,180000,30,94
Hautes-Pyrénées,65,4464,222368,50,76
Haute-Savoie,74,4388,631679,144,84
Alpes-Maritimes,06,4299,1070000,246,93
Pyrénées-Orientales,66,4116,426000,104,76
Corse-du-Sud,2A,4014,160000,30,94
Tarn-et-Garonne,82,3718,222999,60,76
Vaucluse,84,3567,529000,140,93
Haut-Rhin,68,3525,731000,207,44
Rhône,69,3249,1667500,513,84
Yvelines,78,2284,1395000,611,11
Essonne,91,1804,1188000,659,11
Val-d'Oise,95,1246,1105464,887,11
TerritoiredeBelfort,90,609,137408,225,27
Val-de-Marne,94,245,1279000,5220,11
Seine-Saint-Denis,93,236,1485000,6292,11
Hauts-de-Seine,92,176,1517000,8619,11
Paris,75,105,2166200,20433,11
